food_id,Menu,에너지(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg),칼슘(mg),비타민 D(μg),식이섬유(g)
C140500006,고구마맛탕,301.79,1.314,7.503,57.5275,9.2,19.8,0,3.51
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050900038,들깨무채국,59.825,3.3072,2.63635,6.5926,5.05,108.74,0,2.603
C100100019,고등어소금구이,80.48,8.12006,5.04,0.0099,67.622,8.656,0,0
C120100318,어묵양파볶음,136.765,7.99659,4.87685,15.50915,789.178,6.379,0,1.206
C150200097,참나물무침,33.545,1.2853,1.46705,4.55535,103.35,29.79,0,1.9185
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050500164,어묵국,82.805,6.62095,1.24045,10.4155,1037.465,4.08,0,0.4
C090700004,계란찜,94.697,7.2336,4.3269,6.1172,596.87,36.22,0.52,1.012
C130800008,새송이버섯조림,43.3,2.9819,0.1267,10.9144,790.71,5.91,0,3.474
C120300453,여주굴소스볶음,58.7385,0.93109,3.8892,5.69685,286.263,10.944,0,2.18
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050300074,쇠고기미역국,82.42,4.98349,6.28095,0.9113,473.858,3.559,0,0.094
A010500239,마파두부덮밥,512.96,16.7479,11.2966,81.4066,923.96,58.47,0.102,4.827
A031300117,춘권,296.7179,16.62306,10.86638,30.85912,658.424,53.952,0.57,1.784
C160100096,양상추샐러드,127,3.0255,8.5885,10.1565,282.45,32.25,0.156,2.11
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
R108-010020001-0000,귤_온주밀감_생것,39,0.53,0.1,10.04,2,13,0,1.6
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B060300023,닭곰탕,75.5585,12.7624,0.7924,3.9452,34.07,21.62,0,0.956
C090100122,오징어숙회,119.9291,12.781512,3.001167,9.437429,369.1244,28.363,3.618,1.48447
C120500020,감자채참치볶음,109.4785,5.43249,5.8252,8.09965,133.543,5.464,1.26,0.85
C150200044,미나리무침,45.605,1.7062,2.61215,4.7153,919.615,40.74,0,2.396
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050100040,공심채된장국,120.89,8.26815,7.505,5.4835,474.975,69.52,0.6895,2.523
C100200089,떡갈비,698.33,24.1109,61.4103,5.5499,1041.33,16.62,0,0.264
C150200115,상추무침,32.555,1.1032,1.46095,4.35555,84.59,27.01,0,1.7175
C120900001,김자반,79.36,3.336475,5.6732,6.920375,156.8975,23.76,0,3.789
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B051300012,온도토리묵사발,129.51,5.2657,3.9366,19.24635,519.09,49.52,0.26,3.1665
C100100017,고등어데리야끼구이,152.068,12.03819,2.8881,19.22035,890.243,19.714,0,0.69
C140300012,도라지채소튀김,222.1,2.01605,7.565,36.67505,584.745,30.58,0,3.676
C151000001,냉채,112.03,10.8424,3.1542,11.1985,196.7,57.39,0.248,2.808
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
B060900005,누룽지탕,397.14,10.72365,8.0595,69.26325,599.455,32.69,0,5.835
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
