food_id,Menu,ingredient_id,Amount_g,Ingredient,품목코드,단가(원/g),총 가격(원)
B050300074,쇠고기미역국,R209-027071801-0000,25,쇠고기(양지),1000007815,16.98,424.5
B050300074,쇠고기미역국,R118-001030000-0000,4.5,국간장,1000453770,1.347692308,6.064615385
B050300074,쇠고기미역국,R106-053002201-0000,2,마늘(다진것),1000006845,5.68,11.36
B050300074,쇠고기미역국,R114-020000000-0000,1,참기름,1000697992,10.10555556,10.10555556
B050300074,쇠고기미역국,R318-020030000-0000,0.3,소금,1000736517,1.43,0.429
A010500239,마파두부덮밥,R103-011020000-0000,3,백설탕,1000612561,1.438666667,4.316
A010500239,마파두부덮밥,P113-206020400-0041,5,굴소스,1000703411,3.458333333,17.29166667
A010500239,마파두부덮밥,R102-014010006-0000,3,감자전분,1000177074,2.495,7.485
A010500239,마파두부덮밥,R106-053002201-0000,2,마늘,1000006845,5.68,11.36
A010500239,마파두부덮밥,R106-101002501-0000,2,생강,1000702726,16.66666667,33.33333333
A010500239,마파두부덮밥,P107-101010100-0023,5,식용유,1000641822,2.588888889,12.94444444
A010500239,마파두부덮밥,R101-008000301-0000,80,백미,1000119514,2.6385,211.08
A010500239,마파두부덮밥,R118-001030000-0000,1,간장(재래),1000453770,1.347692308,1.347692308
A010500239,마파두부덮밥,R106-191040001-0000,5,대파,1000007015,3.38,16.9
A010500239,마파두부덮밥,P106-001000100-0001,60,두부,1000152538,1.896666667,113.8
A010500239,마파두부덮밥,P104-601060100-0002,2,물엿,1000018123,2.024,4.048
A010500239,마파두부덮밥,R318-020030000-0000,1,소금,1000736517,1.43,1.43
A010500239,마파두부덮밥,P112-013001300-0099,10,쌈장,1000730224,10.75,107.5
A010500239,마파두부덮밥,R106-132000001-0000,10,양파,1000006975,2.86,28.6
A010500239,마파두부덮밥,P115-103010300-0001,5,청주,쿠팡5,34.59459459,172.972973
A010500239,마파두부덮밥,R106-194008101-0000,5,파프리카(적색),1000007574,7.33,36.65
A010500239,마파두부덮밥,R106-196008301-0000,5,피망(녹색),1000006577,7.21,36.05
A010500239,마파두부덮밥,R209-014008601-0000,20,돼지고기(살코기),1000008287,7.3,146
A031300117,춘권,R209-014008301-0000,20,돼지고기(등심),1000710109,10.61,212.2
A031300117,춘권,R210-003000001-0000,50,달걀,1000520018,4.105555556,205.2777778
A031300117,춘권,R106-101002501-0000,1,생강,1000702726,16.66666667,16.66666667
